reference,distorted,dmos
reference/1600.png,awgn/1600.AWGN.1.png,0.062
reference/1600.png,awgn/1600.AWGN.2.png,0.206
reference/1600.png,awgn/1600.AWGN.3.png,0.262
reference/1600.png,awgn/1600.AWGN.4.png,0.375
reference/1600.png,awgn/1600.AWGN.5.png,0.467
reference/1600.png,jpeg/1600.JPEG.1.png,0.013
reference/1600.png,jpeg/1600.JPEG.2.png,0.069
reference/1600.png,jpeg/1600.JPEG.3.png,0.197
reference/1600.png,jpeg/1600.JPEG.4.png,0.501
reference/1600.png,jpeg/1600.JPEG.5.png,0.687
reference/1600.png,jpeg2000/1600.jpeg2000.1.png,0.012
reference/1600.png,jpeg2000/1600.jpeg2000.2.png,0.135
reference/1600.png,jpeg2000/1600.jpeg2000.3.png,0.364
reference/1600.png,jpeg2000/1600.jpeg2000.4.png,0.576
reference/1600.png,jpeg2000/1600.jpeg2000.5.png,0.827
reference/1600.png,fnoise/1600.fnoise.1.png,0.052
reference/1600.png,fnoise/1600.fnoise.2.png,0.253
reference/1600.png,fnoise/1600.fnoise.3.png,0.376
reference/1600.png,fnoise/1600.fnoise.4.png,0.490
reference/1600.png,fnoise/1600.fnoise.5.png,0.565
reference/1600.png,blur/1600.BLUR.1.png,0.043
reference/1600.png,blur/1600.BLUR.2.png,0.142
reference/1600.png,blur/1600.BLUR.3.png,0.341
reference/1600.png,blur/1600.BLUR.4.png,0.471
reference/1600.png,blur/1600.BLUR.5.png,0.750
reference/1600.png,contrast/1600.contrast.1.png,0.056
reference/1600.png,contrast/1600.contrast.2.png,0.201
reference/1600.png,contrast/1600.contrast.3.png,0.310
reference/1600.png,contrast/1600.contrast.4.png,0.371
reference/aerial_city.png,awgn/aerial_city.AWGN.1.png,0.032
reference/aerial_city.png,awgn/aerial_city.AWGN.2.png,0.125
reference/aerial_city.png,awgn/aerial_city.AWGN.3.png,0.245
reference/aerial_city.png,awgn/aerial_city.AWGN.4.png,0.373
reference/aerial_city.png,awgn/aerial_city.AWGN.5.png,0.501
reference/aerial_city.png,jpeg/aerial_city.JPEG.1.png,0.030
reference/aerial_city.png,jpeg/aerial_city.JPEG.2.png,0.065
reference/aerial_city.png,jpeg/aerial_city.JPEG.3.png,0.389
reference/aerial_city.png,jpeg/aerial_city.JPEG.4.png,0.607
reference/aerial_city.png,jpeg/aerial_city.JPEG.5.png,0.819
reference/aerial_city.png,jpeg2000/aerial_city.jpeg2000.1.png,0.027
reference/aerial_city.png,jpeg2000/aerial_city.jpeg2000.2.png,0.191
reference/aerial_city.png,jpeg2000/aerial_city.jpeg2000.3.png,0.486
reference/aerial_city.png,jpeg2000/aerial_city.jpeg2000.4.png,0.754
reference/aerial_city.png,jpeg2000/aerial_city.jpeg2000.5.png,0.956
reference/aerial_city.png,fnoise/aerial_city.fnoise.1.png,0.126
reference/aerial_city.png,fnoise/aerial_city.fnoise.2.png,0.319
reference/aerial_city.png,fnoise/aerial_city.fnoise.3.png,0.475
reference/aerial_city.png,fnoise/aerial_city.fnoise.4.png,0.601
reference/aerial_city.png,fnoise/aerial_city.fnoise.5.png,0.708
reference/aerial_city.png,blur/aerial_city.BLUR.1.png,0.025
reference/aerial_city.png,blur/aerial_city.BLUR.2.png,0.114
reference/aerial_city.png,blur/aerial_city.BLUR.3.png,0.259
reference/aerial_city.png,blur/aerial_city.BLUR.4.png,0.464
reference/aerial_city.png,blur/aerial_city.BLUR.5.png,0.896
reference/aerial_city.png,contrast/aerial_city.contrast.1.png,0.038
reference/aerial_city.png,contrast/aerial_city.contrast.2.png,0.163
reference/aerial_city.png,contrast/aerial_city.contrast.3.png,0.367
reference/aerial_city.png,contrast/aerial_city.contrast.4.png,0.453
reference/boston.png,awgn/boston.AWGN.1.png,0.029
reference/boston.png,awgn/boston.AWGN.2.png,0.081
reference/boston.png,awgn/boston.AWGN.3.png,0.215
reference/boston.png,awgn/boston.AWGN.4.png,0.383
reference/boston.png,awgn/boston.AWGN.5.png,0.472
reference/boston.png,jpeg/boston.JPEG.1.png,0.000
reference/boston.png,jpeg/boston.JPEG.2.png,0.050
reference/boston.png,jpeg/boston.JPEG.3.png,0.328
reference/boston.png,jpeg/boston.JPEG.4.png,0.737
reference/boston.png,jpeg/boston.JPEG.5.png,0.832
reference/boston.png,jpeg2000/boston.jpeg2000.1.png,0.000
reference/boston.png,jpeg2000/boston.jpeg2000.2.png,0.118
reference/boston.png,jpeg2000/boston.jpeg2000.3.png,0.389
reference/boston.png,jpeg2000/boston.jpeg2000.4.png,0.697
reference/boston.png,jpeg2000/boston.jpeg2000.5.png,0.904
reference/boston.png,fnoise/boston.fnoise.1.png,0.068
reference/boston.png,fnoise/boston.fnoise.2.png,0.243
reference/boston.png,fnoise/boston.fnoise.3.png,0.498
reference/boston.png,fnoise/boston.fnoise.4.png,0.620
reference/boston.png,fnoise/boston.fnoise.5.png,0.724
reference/boston.png,blur/boston.BLUR.1.png,0.083
reference/boston.png,blur/boston.BLUR.2.png,0.216
reference/boston.png,blur/boston.BLUR.3.png,0.363
reference/boston.png,blur/boston.BLUR.4.png,0.571
reference/boston.png,blur/boston.BLUR.5.png,0.913
reference/boston.png,contrast/boston.contrast.1.png,0.117
reference/boston.png,contrast/boston.contrast.2.png,0.339
reference/boston.png,contrast/boston.contrast.3.png,0.605
reference/boston.png,contrast/boston.contrast.4.png,0.690
reference/bridge.png,awgn/bridge.AWGN.1.png,0.028
reference/bridge.png,awgn/bridge.AWGN.2.png,0.088
reference/bridge.png,awgn/bridge.AWGN.3.png,0.252
reference/bridge.png,awgn/bridge.AWGN.4.png,0.409
reference/bridge.png,awgn/bridge.AWGN.5.png,0.517
reference/bridge.png,jpeg/bridge.JPEG.1.png,0.037
reference/bridge.png,jpeg/bridge.JPEG.2.png,0.076
reference/bridge.png,jpeg/bridge.JPEG.3.png,0.273
reference/bridge.png,jpeg/bridge.JPEG.4.png,0.743
reference/bridge.png,jpeg/bridge.JPEG.5.png,0.816
reference/bridge.png,jpeg2000/bridge.jpeg2000.1.png,0.038
reference/bridge.png,jpeg2000/bridge.jpeg2000.2.png,0.203
reference/bridge.png,jpeg2000/bridge.jpeg2000.3.png,0.409
reference/bridge.png,jpeg2000/bridge.jpeg2000.4.png,0.651
reference/bridge.png,jpeg2000/bridge.jpeg2000.5.png,0.825
reference/bridge.png,fnoise/bridge.fnoise.1.png,0.051
reference/bridge.png,fnoise/bridge.fnoise.2.png,0.293
reference/bridge.png,fnoise/bridge.fnoise.3.png,0.429
reference/bridge.png,fnoise/bridge.fnoise.4.png,0.595
reference/bridge.png,fnoise/bridge.fnoise.5.png,0.697
reference/bridge.png,blur/bridge.BLUR.1.png,0.061
reference/bridge.png,blur/bridge.BLUR.2.png,0.182
reference/bridge.png,blur/bridge.BLUR.3.png,0.348
reference/bridge.png,blur/bridge.BLUR.4.png,0.636
reference/bridge.png,blur/bridge.BLUR.5.png,0.777
reference/bridge.png,contrast/bridge.contrast.1.png,0.036
reference/bridge.png,contrast/bridge.contrast.2.png,0.139
reference/bridge.png,contrast/bridge.contrast.3.png,0.345
reference/bridge.png,contrast/bridge.contrast.4.png,0.458
reference/butter_flower.png,awgn/butter_flower.AWGN.1.png,0.027
reference/butter_flower.png,awgn/butter_flower.AWGN.2.png,0.089
reference/butter_flower.png,awgn/butter_flower.AWGN.3.png,0.252
reference/butter_flower.png,awgn/butter_flower.AWGN.4.png,0.435
reference/butter_flower.png,awgn/butter_flower.AWGN.5.png,0.545
reference/butter_flower.png,jpeg/butter_flower.JPEG.1.png,0.023
reference/butter_flower.png,jpeg/butter_flower.JPEG.2.png,0.031
reference/butter_flower.png,jpeg/butter_flower.JPEG.3.png,0.410
reference/butter_flower.png,jpeg/butter_flower.JPEG.4.png,0.699
reference/butter_flower.png,jpeg/butter_flower.JPEG.5.png,0.808
reference/butter_flower.png,jpeg2000/butter_flower.jpeg2000.1.png,0.028
reference/butter_flower.png,jpeg2000/butter_flower.jpeg2000.2.png,0.143
reference/butter_flower.png,jpeg2000/butter_flower.jpeg2000.3.png,0.460
reference/butter_flower.png,jpeg2000/butter_flower.jpeg2000.4.png,0.779
reference/butter_flower.png,jpeg2000/butter_flower.jpeg2000.5.png,0.926
reference/butter_flower.png,fnoise/butter_flower.fnoise.1.png,0.028
reference/butter_flower.png,fnoise/butter_flower.fnoise.2.png,0.195
reference/butter_flower.png,fnoise/butter_flower.fnoise.3.png,0.382
reference/butter_flower.png,fnoise/butter_flower.fnoise.4.png,0.549
reference/butter_flower.png,fnoise/butter_flower.fnoise.5.png,0.727
reference/butter_flower.png,blur/butter_flower.BLUR.1.png,0.078
reference/butter_flower.png,blur/butter_flower.BLUR.2.png,0.202
reference/butter_flower.png,blur/butter_flower.BLUR.3.png,0.482
reference/butter_flower.png,blur/butter_flower.BLUR.4.png,0.779
reference/butter_flower.png,blur/butter_flower.BLUR.5.png,0.953
reference/butter_flower.png,contrast/butter_flower.contrast.1.png,0.070
reference/butter_flower.png,contrast/butter_flower.contrast.2.png,0.256
reference/butter_flower.png,contrast/butter_flower.contrast.3.png,0.515
reference/butter_flower.png,contrast/butter_flower.contrast.4.png,0.615
reference/cactus.png,awgn/cactus.AWGN.1.png,0.104
reference/cactus.png,awgn/cactus.AWGN.2.png,0.206
reference/cactus.png,awgn/cactus.AWGN.3.png,0.349
reference/cactus.png,awgn/cactus.AWGN.4.png,0.439
reference/cactus.png,awgn/cactus.AWGN.5.png,0.498
reference/cactus.png,jpeg/cactus.JPEG.1.png,0.041
reference/cactus.png,jpeg/cactus.JPEG.2.png,0.160
reference/cactus.png,jpeg/cactus.JPEG.3.png,0.378
reference/cactus.png,jpeg/cactus.JPEG.4.png,0.704
reference/cactus.png,jpeg/cactus.JPEG.5.png,0.812
reference/cactus.png,jpeg2000/cactus.jpeg2000.1.png,0.079
reference/cactus.png,jpeg2000/cactus.jpeg2000.2.png,0.209
reference/cactus.png,jpeg2000/cactus.jpeg2000.3.png,0.405
reference/cactus.png,jpeg2000/cactus.jpeg2000.4.png,0.639
reference/cactus.png,jpeg2000/cactus.jpeg2000.5.png,0.785
reference/cactus.png,fnoise/cactus.fnoise.1.png,0.222
reference/cactus.png,fnoise/cactus.fnoise.2.png,0.325
reference/cactus.png,fnoise/cactus.fnoise.3.png,0.503
reference/cactus.png,fnoise/cactus.fnoise.4.png,0.595
reference/cactus.png,fnoise/cactus.fnoise.5.png,0.667
reference/cactus.png,blur/cactus.BLUR.1.png,0.067
reference/cactus.png,blur/cactus.BLUR.2.png,0.147
reference/cactus.png,blur/cactus.BLUR.3.png,0.399
reference/cactus.png,blur/cactus.BLUR.4.png,0.508
reference/cactus.png,blur/cactus.BLUR.5.png,0.750
reference/cactus.png,contrast/cactus.contrast.1.png,0.111
reference/cactus.png,contrast/cactus.contrast.2.png,0.285
reference/cactus.png,contrast/cactus.contrast.3.png,0.408
reference/cactus.png,contrast/cactus.contrast.4.png,0.517
reference/child_swimming.png,awgn/child_swimming.AWGN.1.png,0.028
reference/child_swimming.png,awgn/child_swimming.AWGN.2.png,0.120
reference/child_swimming.png,awgn/child_swimming.AWGN.3.png,0.272
reference/child_swimming.png,awgn/child_swimming.AWGN.4.png,0.413
reference/child_swimming.png,awgn/child_swimming.AWGN.5.png,0.489
reference/child_swimming.png,jpeg/child_swimming.JPEG.1.png,0.029
reference/child_swimming.png,jpeg/child_swimming.JPEG.2.png,0.030
reference/child_swimming.png,jpeg/child_swimming.JPEG.3.png,0.236
reference/child_swimming.png,jpeg/child_swimming.JPEG.4.png,0.514
reference/child_swimming.png,jpeg/child_swimming.JPEG.5.png,0.696
reference/child_swimming.png,jpeg2000/child_swimming.jpeg2000.1.png,0.029
reference/child_swimming.png,jpeg2000/child_swimming.jpeg2000.2.png,0.043
reference/child_swimming.png,jpeg2000/child_swimming.jpeg2000.3.png,0.323
reference/child_swimming.png,jpeg2000/child_swimming.jpeg2000.4.png,0.547
reference/child_swimming.png,jpeg2000/child_swimming.jpeg2000.5.png,0.766
reference/child_swimming.png,fnoise/child_swimming.fnoise.1.png,0.032
reference/child_swimming.png,fnoise/child_swimming.fnoise.2.png,0.226
reference/child_swimming.png,fnoise/child_swimming.fnoise.3.png,0.376
reference/child_swimming.png,fnoise/child_swimming.fnoise.4.png,0.570
reference/child_swimming.png,fnoise/child_swimming.fnoise.5.png,0.699
reference/child_swimming.png,blur/child_swimming.BLUR.1.png,0.032
reference/child_swimming.png,blur/child_swimming.BLUR.2.png,0.187
reference/child_swimming.png,blur/child_swimming.BLUR.3.png,0.290
reference/child_swimming.png,blur/child_swimming.BLUR.4.png,0.485
reference/child_swimming.png,blur/child_swimming.BLUR.5.png,0.758
reference/child_swimming.png,contrast/child_swimming.contrast.1.png,0.143
reference/child_swimming.png,contrast/child_swimming.contrast.2.png,0.289
reference/child_swimming.png,contrast/child_swimming.contrast.3.png,0.554
reference/child_swimming.png,contrast/child_swimming.contrast.4.png,0.565
reference/couple.png,awgn/couple.AWGN.1.png,0.006
reference/couple.png,awgn/couple.AWGN.2.png,0.109
reference/couple.png,awgn/couple.AWGN.3.png,0.204
reference/couple.png,awgn/couple.AWGN.4.png,0.325
reference/couple.png,awgn/couple.AWGN.5.png,0.470
reference/couple.png,jpeg/couple.JPEG.1.png,0.002
reference/couple.png,jpeg/couple.JPEG.2.png,0.034
reference/couple.png,jpeg/couple.JPEG.3.png,0.258
reference/couple.png,jpeg/couple.JPEG.4.png,0.586
reference/couple.png,jpeg/couple.JPEG.5.png,0.724
reference/couple.png,jpeg2000/couple.jpeg2000.1.png,0.002
reference/couple.png,jpeg2000/couple.jpeg2000.2.png,0.073
reference/couple.png,jpeg2000/couple.jpeg2000.3.png,0.386
reference/couple.png,jpeg2000/couple.jpeg2000.4.png,0.631
reference/couple.png,jpeg2000/couple.jpeg2000.5.png,0.805
reference/couple.png,fnoise/couple.fnoise.1.png,0.012
reference/couple.png,fnoise/couple.fnoise.2.png,0.089
reference/couple.png,fnoise/couple.fnoise.3.png,0.265
reference/couple.png,fnoise/couple.fnoise.4.png,0.467
reference/couple.png,fnoise/couple.fnoise.5.png,0.639
reference/couple.png,blur/couple.BLUR.1.png,0.047
reference/couple.png,blur/couple.BLUR.2.png,0.249
reference/couple.png,blur/couple.BLUR.3.png,0.408
reference/couple.png,blur/couple.BLUR.4.png,0.589
reference/couple.png,blur/couple.BLUR.5.png,0.785
reference/couple.png,contrast/couple.contrast.1.png,0.097
reference/couple.png,contrast/couple.contrast.2.png,0.210
reference/couple.png,contrast/couple.contrast.3.png,0.352
reference/couple.png,contrast/couple.contrast.4.png,0.417
reference/elk.png,awgn/elk.AWGN.1.png,0.033
reference/elk.png,awgn/elk.AWGN.2.png,0.065
reference/elk.png,awgn/elk.AWGN.3.png,0.172
reference/elk.png,awgn/elk.AWGN.4.png,0.237
reference/elk.png,awgn/elk.AWGN.5.png,0.358
reference/elk.png,jpeg/elk.JPEG.1.png,0.032
reference/elk.png,jpeg/elk.JPEG.2.png,0.068
reference/elk.png,jpeg/elk.JPEG.3.png,0.220
reference/elk.png,jpeg/elk.JPEG.4.png,0.550
reference/elk.png,jpeg/elk.JPEG.5.png,0.710
reference/elk.png,jpeg2000/elk.jpeg2000.1.png,0.027
reference/elk.png,jpeg2000/elk.jpeg2000.2.png,0.074
reference/elk.png,jpeg2000/elk.jpeg2000.3.png,0.245
reference/elk.png,jpeg2000/elk.jpeg2000.4.png,0.546
reference/elk.png,jpeg2000/elk.jpeg2000.5.png,0.811
reference/elk.png,fnoise/elk.fnoise.1.png,0.046
reference/elk.png,fnoise/elk.fnoise.2.png,0.247
reference/elk.png,fnoise/elk.fnoise.3.png,0.371
reference/elk.png,fnoise/elk.fnoise.4.png,0.484
reference/elk.png,fnoise/elk.fnoise.5.png,0.645
reference/elk.png,blur/elk.BLUR.1.png,0.044
reference/elk.png,blur/elk.BLUR.2.png,0.122
reference/elk.png,blur/elk.BLUR.3.png,0.247
reference/elk.png,blur/elk.BLUR.4.png,0.405
reference/elk.png,blur/elk.BLUR.5.png,0.763
reference/elk.png,contrast/elk.contrast.1.png,0.076
reference/elk.png,contrast/elk.contrast.2.png,0.200
reference/elk.png,contrast/elk.contrast.3.png,0.399
reference/family.png,awgn/family.AWGN.1.png,0.088
reference/family.png,awgn/family.AWGN.2.png,0.150
reference/family.png,awgn/family.AWGN.3.png,0.275
reference/family.png,awgn/family.AWGN.4.png,0.375
reference/family.png,awgn/family.AWGN.5.png,0.480
reference/family.png,jpeg/family.JPEG.1.png,0.022
reference/family.png,jpeg/family.JPEG.2.png,0.134
reference/family.png,jpeg/family.JPEG.3.png,0.647
reference/family.png,jpeg/family.JPEG.4.png,0.762
reference/family.png,jpeg/family.JPEG.5.png,0.846
reference/family.png,jpeg2000/family.jpeg2000.1.png,0.044
reference/family.png,jpeg2000/family.jpeg2000.2.png,0.238
reference/family.png,jpeg2000/family.jpeg2000.3.png,0.559
reference/family.png,jpeg2000/family.jpeg2000.4.png,0.762
reference/family.png,jpeg2000/family.jpeg2000.5.png,0.977
reference/family.png,fnoise/family.fnoise.1.png,0.170
reference/family.png,fnoise/family.fnoise.2.png,0.272
reference/family.png,fnoise/family.fnoise.3.png,0.448
reference/family.png,fnoise/family.fnoise.4.png,0.569
reference/family.png,fnoise/family.fnoise.5.png,0.681
reference/family.png,blur/family.BLUR.1.png,0.037
reference/family.png,blur/family.BLUR.2.png,0.149
reference/family.png,blur/family.BLUR.3.png,0.262
reference/family.png,blur/family.BLUR.4.png,0.538
reference/family.png,blur/family.BLUR.5.png,0.856
reference/family.png,contrast/family.contrast.1.png,0.027
reference/family.png,contrast/family.contrast.2.png,0.145
reference/family.png,contrast/family.contrast.3.png,0.280
reference/family.png,contrast/family.contrast.4.png,0.379
reference/fisher.png,awgn/fisher.AWGN.1.png,0.052
reference/fisher.png,awgn/fisher.AWGN.2.png,0.130
reference/fisher.png,awgn/fisher.AWGN.3.png,0.216
reference/fisher.png,awgn/fisher.AWGN.4.png,0.312
reference/fisher.png,awgn/fisher.AWGN.5.png,0.440
reference/fisher.png,jpeg/fisher.JPEG.1.png,0.008
reference/fisher.png,jpeg/fisher.JPEG.2.png,0.180
reference/fisher.png,jpeg/fisher.JPEG.3.png,0.518
reference/fisher.png,jpeg/fisher.JPEG.4.png,0.725
reference/fisher.png,jpeg/fisher.JPEG.5.png,0.791
reference/fisher.png,jpeg2000/fisher.jpeg2000.1.png,0.008
reference/fisher.png,jpeg2000/fisher.jpeg2000.2.png,0.176
reference/fisher.png,jpeg2000/fisher.jpeg2000.3.png,0.518
reference/fisher.png,jpeg2000/fisher.jpeg2000.4.png,0.808
reference/fisher.png,jpeg2000/fisher.jpeg2000.5.png,0.972
reference/fisher.png,fnoise/fisher.fnoise.1.png,0.066
reference/fisher.png,fnoise/fisher.fnoise.2.png,0.270
reference/fisher.png,fnoise/fisher.fnoise.3.png,0.403
reference/fisher.png,fnoise/fisher.fnoise.4.png,0.487
reference/fisher.png,fnoise/fisher.fnoise.5.png,0.607
reference/fisher.png,blur/fisher.BLUR.1.png,0.056
reference/fisher.png,blur/fisher.BLUR.2.png,0.361
reference/fisher.png,blur/fisher.BLUR.3.png,0.583
reference/fisher.png,blur/fisher.BLUR.4.png,0.800
reference/fisher.png,blur/fisher.BLUR.5.png,0.913
reference/fisher.png,contrast/fisher.contrast.1.png,0.090
reference/fisher.png,contrast/fisher.contrast.2.png,0.212
reference/fisher.png,contrast/fisher.contrast.3.png,0.342
reference/fisher.png,contrast/fisher.contrast.4.png,0.389
reference/foxy.png,awgn/foxy.AWGN.1.png,0.014
reference/foxy.png,awgn/foxy.AWGN.2.png,0.064
reference/foxy.png,awgn/foxy.AWGN.3.png,0.136
reference/foxy.png,awgn/foxy.AWGN.4.png,0.250
reference/foxy.png,awgn/foxy.AWGN.5.png,0.381
reference/foxy.png,jpeg/foxy.JPEG.1.png,0.016
reference/foxy.png,jpeg/foxy.JPEG.2.png,0.075
reference/foxy.png,jpeg/foxy.JPEG.3.png,0.154
reference/foxy.png,jpeg/foxy.JPEG.4.png,0.322
reference/foxy.png,jpeg/foxy.JPEG.5.png,0.551
reference/foxy.png,jpeg2000/foxy.jpeg2000.1.png,0.015
reference/foxy.png,jpeg2000/foxy.jpeg2000.2.png,0.056
reference/foxy.png,jpeg2000/foxy.jpeg2000.3.png,0.179
reference/foxy.png,jpeg2000/foxy.jpeg2000.4.png,0.379
reference/foxy.png,jpeg2000/foxy.jpeg2000.5.png,0.609
reference/foxy.png,fnoise/foxy.fnoise.1.png,0.023
reference/foxy.png,fnoise/foxy.fnoise.2.png,0.092
reference/foxy.png,fnoise/foxy.fnoise.3.png,0.333
reference/foxy.png,fnoise/foxy.fnoise.4.png,0.401
reference/foxy.png,fnoise/foxy.fnoise.5.png,0.576
reference/foxy.png,blur/foxy.BLUR.1.png,0.016
reference/foxy.png,blur/foxy.BLUR.2.png,0.110
reference/foxy.png,blur/foxy.BLUR.3.png,0.180
reference/foxy.png,blur/foxy.BLUR.4.png,0.290
reference/foxy.png,blur/foxy.BLUR.5.png,0.442
reference/foxy.png,contrast/foxy.contrast.1.png,0.047
reference/foxy.png,contrast/foxy.contrast.2.png,0.183
reference/foxy.png,contrast/foxy.contrast.3.png,0.356
reference/foxy.png,contrast/foxy.contrast.4.png,0.470
reference/geckos.png,awgn/geckos.AWGN.1.png,0.029
reference/geckos.png,awgn/geckos.AWGN.2.png,0.060
reference/geckos.png,awgn/geckos.AWGN.3.png,0.117
reference/geckos.png,awgn/geckos.AWGN.4.png,0.202
reference/geckos.png,awgn/geckos.AWGN.5.png,0.336
reference/geckos.png,jpeg/geckos.JPEG.1.png,0.022
