PSNRY,PSNRCb,PSNRCr
41.2805,41.8146,41.4132
35.8013,36.3476,35.9201
31.0041,31.594,31.1689
26.867,27.529,27.0195
23.5098,24.2962,23.6471
54.5581,42.2325,37.8542
36.9622,38.6306,35.5103
29.9549,35.9818,32.3779
25.2435,32.7374,29.0544
23.0126,27.832,26.1726
42.0903,43.9814,41.5292
34.6626,39.6848,37.3016
29,37.2379,34.5509
24.4269,34.3495,30.9088
20.7832,31.7958,27.3829
41.3256,41.8762,41.5151
35.3676,36.2101,36.3989
31.0437,31.4936,31.1198
26.8171,27.8031,27.0586
23.5228,24.4101,23.4675
38.255,52.6053,48.9111
32.4009,48.0527,43.6532
27.6726,43.8647,39.2232
23.6292,39.527,34.6158
20.5932,35.196,28.5827
30.8891,45.1789,37.1004
23.7393,38.2553,30.0133
18.1467,32.7057,24.4443
16.9607,31.504,23.2298
41.3694,41.9641,41.4919
35.8693,36.484,36.0285
31.1339,31.7472,31.2857
27.003,27.6098,27.191
23.4128,24.0085,23.6376
40.5581,44.3286,44.5139
33.2839,42.8031,42.875
28.2662,39.1086,39.4958
25.3938,33.7271,33.9346
22.3566,28.9857,33.3276
39.8422,44.7598,44.4681
33.2106,43.0268,43.081
27.819,41.0755,40.9267
23.6657,39.7167,39.5
20.2189,37.3372,33.3279
41.2869,42.5767,40.6956
35.8674,36.4127,36.141
30.6599,31.7008,31.526
26.656,28.2359,27.1147
23.9393,24.1831,23.5048
37.8513,54.1051,54.2057
32.5475,51.2285,51.2771
27.5064,48.0135,48.047
23.4679,45.2824,45.3561
20.0558,41.699,41.5809
30.2705,44.5587,48.7332
22.9722,37.5709,42.2973
17.569,32.207,37.0849
16.4749,31.0859,36.0553
41.4307,42.0108,41.573
35.8676,36.4876,36.0263
31.0093,31.6501,31.1955
26.8994,27.5238,27.0725
23.4414,24.0858,23.6144
40.5749,43.1403,42.3442
33.8002,41.2537,40.5134
28.3143,37.7849,37.6577
23.2218,31.9122,32.8191
21.893,31.817,31.8311
40.3145,44.4714,43.1602
33.503,41.7103,41.0463
28.1799,39.2479,38.7779
23.8399,37.2942,36.6306
20.2063,35.8834,34.142
41.4429,42.0195,41.411
35.9329,35.7958,36.1021
30.6194,32.2521,30.5567
27.0261,27.7959,26.8198
24.1052,24.8264,24.1809
38.119,53.1257,52.8282
32.3747,49.6533,49.09
27.5548,46.4197,45.6044
23.4571,43.139,42.07
20.1807,37.864,37.2089
30.468,46.4413,45.2765
23.1682,39.6371,38.3779
17.6845,34.1959,32.9072
16.4989,32.9782,31.7458
41.1759,41.8283,41.311
35.7153,36.3934,35.8514
30.8917,31.6842,31.0721
26.9804,27.8281,27.1923
23.457,24.3816,23.7565
42.0343,43.5727,44.7983
33.2466,41.1551,42.4432
28.3465,37.8504,38.4923
23.4387,29.8014,29.6891
22.0156,28.8972,28.7778
39.7087,44.583,44.8875
33.1231,41.4226,41.9844
27.947,39.2793,40.2085
23.5175,37.3186,38.5248
20.123,34.6958,36.8648
41.4798,42.3942,41.3003
35.739,35.8297,36.5496
31.6166,32.1236,30.8339
27.0962,27.2868,26.8904
22.7512,24.0915,24.0905
38.0459,54.4534,54.7189
32.309,50.5105,51.065
27.4575,46.8081,47.7907
23.4626,43.3945,44.9052
19.9665,39.6994,41.3725
30.0396,47.72,48.0457
23.0014,41.2233,41.7789
17.4676,35.8278,36.4314
15.6417,34.0259,34.6203
40.9855,42.0565,41.3544
35.7102,36.8472,36.2149
30.7162,31.9594,31.3362
26.5601,27.9029,27.2508
23.032,24.587,23.8147
57.9635,38.9842,45.5645
36.1368,35.4029,40.8381
30.1062,32.1872,36.0106
26.4091,29.7868,32.4566
24.1726,28.1786,30.5461
40.1551,43.7246,44.1284
34.1904,37.6094,39.8881
28.563,33.881,37.3691
24.1105,30.2776,33.7904
20.8242,26.9774,28.395
41.562,42.5997,41.3417
35.0478,36.6511,36.5275
31.0169,31.564,31.6957
26.0777,28.3448,26.9652
23.4593,24.5514,23.7898
38.2282,45.6861,51.6878
32.6901,40.7019,47.332
27.5571,36.0409,43.1636
23.5222,31.5313,38.4708
20.043,28.3529,34.4722
30.0703,37.7654,43.1769
22.7327,30.5069,36.0423
17.4146,25.1534,30.719
16.2197,24.011,29.561
41.2768,41.8386,41.3889
35.941,36.5556,36.0735
30.948,31.5622,31.1127
27.0331,27.6369,27.1733
23.3645,24.0524,23.5831
43.2113,41.8013,43.5053
32.9537,38.6814,40.0403
28.9913,36.2302,37.2568
24.7215,31.978,33.833
21.1691,28.0413,32.1603
41.0082,43.0219,43.566
33.8543,39.9723,41.0305
28.6289,37.5542,38.2821
24.1776,35.1504,35.8343
20.4545,32.4348,33.5767
41.2319,42.1623,41.1686
36.0022,36.052,36.1033
30.8189,32.1399,30.8538
27.6849,27.5962,26.816
23.6148,24.005,23.8209
38.4077,53.3653,54.6618
32.5222,49.2118,51.2927
27.9361,45.6486,48.0927
23.7548,42.0245,44.3043
20.1254,37.5629,39.8016
32.0149,36.0194,38.5074
24.7406,28.7838,31.3577
19.3358,23.3813,25.8416
18.1489,22.1882,24.6473
41.2752,41.8748,41.4301
35.8153,36.4481,35.995
30.9064,31.5352,31.0709
26.9959,27.6339,27.1742
23.576,24.2267,23.724
57.2896,39.4977,40.014
36.2942,37.0887,37.0913
29.3939,35.4755,34.7816
24.6347,32.6783,31.5295
22.4887,30.292,29.5542
41.5609,43.2642,42.6398
35.1434,38.4477,37.9067
29.0537,35.8169,35.3748
24.3102,34.4603,33.3842
20.4835,32.6234,30.5873
41.5815,41.8264,41.2076
36.1058,36.1936,35.981
31.4105,32.1148,30.8028
27.5139,27.8373,26.8013
23.8154,24.2527,23.7715
38.164,50.6301,51.4255
32.7108,46.2875,47.2114
27.7906,42.0494,42.85
23.8323,38.8157,38.9524
20.237,33.9095,31.8921
31.0806,38.547,39.1765
23.7624,31.274,31.9237
18.4683,25.9998,26.6397
17.2347,24.779,25.3955
41.2496,41.8398,41.4024
35.6764,36.3149,35.8495
30.9713,31.6073,31.1785
26.8445,27.4795,27.0677
23.4405,24.0903,23.7253
50.1004,40.6754,41.474
37.6649,36.3158,37.1579
30.9448,32.3608,33.4682
25.4181,27.8748,29.4965
23.6039,26.3899,27.9568
41.1237,43.3358,43.2966
34.8061,38.6338,38.4222
29.4061,34.6507,34.2513
24.9508,30.9358,31.7709
21.4375,27.8722,29.1472
41.3949,41.9429,41.5755
36.0846,36.4222,35.7585
30.9063,31.6672,31.3259
27.5719,27.5474,27.3791
23.0048,24.5061,24.0243
38.0966,48.8745,49.3748
32.5202,44.2341,44.8887
27.7065,39.9383,40.883
23.7608,35.3326,36.9541
20.5603,31.1251,33.3353
30.5873,39.2945,40.977
23.3965,32.1875,33.9036
17.9449,26.7442,28.47
16.7126,25.5142,27.2397
41.1888,41.7909,41.3342
35.9309,36.557,36.0955
31.0899,31.6975,31.2424
26.96,27.6038,27.1307
23.395,24.0286,23.5605
54.0516,41.22,41.8504
35.4764,37.4437,38.2353
29.4835,34.8131,35.4706
24.844,31.5819,31.1942
23.1456,28.3846,28.7396
41.2706,43.3076,42.9268
34.7853,38.4818,38.6455
28.7698,36.12,36.3668
24.0342,34.1003,34.32
20.2745,32.6248,32.828
42.1137,41.9209,40.7542
35.682,36.5621,36.3766
31.2647,31.1869,30.9859
27.1036,27.9886,26.7519
22.9893,24.3662,23.9875
38.5496,49.5065,49.9628
32.9122,45.0009,45.5199
27.9768,41.3757,41.9807
23.6987,38.4999,39.2917
20.1618,35.6088,36.3634
30.3295,41.6211,41.1706
23.2133,34.6472,34.1967
17.6177,29.0847,28.6222
41.2933,42.2643,41.5886
35.7245,36.8143,36.146
30.6873,31.8579,31.2121
26.759,27.9796,27.3361
23.1365,24.3817,23.7227
56.3682,39.0349,45.1361
36.614,36.0272,41.4367
30.4331,32.0989,34.9585
28.1192,29.6044,31.7506
25.7875,28.1494,29.7288
41.3672,42.9662,45.2364
35.2374,37.8881,41.4757
30.0091,34.1912,38.0061
25.4946,31.6852,34.7688
21.7805,27.636,32.4986
41.3569,42.6138,41.0904
36.1044,36.9644,36.2733
30.287,32.2262,31.5215
26.4384,27.6015,27.3547
22.9167,24.6601,23.8253
39.7442,45.3723,50.6816
33.9036,40.2492,46.2833
29.0219,36.8419,43.0507
24.7925,33.9516,39.364
21.3902,30.856,35.4261
31.2904,38.4169,41.1748
24.1122,31.5479,34.2664
18.5779,26.0105,28.7479
16.7124,24.2013,26.9373
41.3587,41.9406,41.5026
35.8749,36.4608,36.0286
31.1329,31.7775,31.3021
27.0349,27.6724,27.1869
23.3567,24.0582,23.5481
41.389,43.2321,42.9102
33.9313,39.5574,38.7902
29.5559,35.0618,34.0768
25.1372,26.0116,27.0886
24.8499,26.0115,27.0875
39.5889,44.6046,43.7048
33.2492,41.0476,40.4522
28.2474,38.5593,36.8515
24.3662,34.6665,31.8964
21.16,25.1267,30.7399
41.5749,41.892,41.2134
35.6952,36.1692,36.1195
31.0346,31.6373,30.9124
27.4069,27.4458,26.7678
23.269,24.2159,23.5675
37.8959,49.4871,49.0096
32.2236,45.6178,45.0001
27.5423,42.5251,40.5335
23.6447,39.4797,35.9449
20.2058,36.8193,32.8994
30.7926,41.1103,37.7618
23.7623,34.2215,30.7737
18.3369,28.8241,25.3484
17.1793,27.6609,24.1895
41.4551,42.0738,41.6393
35.6655,36.2619,35.8347
30.9673,31.5456,31.1505
26.8588,27.5295,27.1054
23.369,24.116,23.6533
54.1009,35.6171,40.1807
39.9218,34.5554,38.2137
30.3302,32.4754,35.8561
24.8728,30.6121,33.4256
21.1112,28.3482,30.4986
41.4545,43.2688,42.7879
35.6516,37.379,38.1888
29.8021,33.2681,35.2435
24.8152,31.2247,33.297
20.8007,29.7794,32.0365
41.6813,41.2841,42.1886
36.1715,36.0374,36.0949
30.5834,31.7604,31.4533
26.4997,27.4607,27.8696
23.2224,23.9802,23.5696
38.251,49.9394,53.3405
32.8879,45.3422,49.5762
27.8809,40.7647,45.4047
23.8189,37.2279,41.8509
20.3059,34.5387,38.8152
30.3236,38.5462,43.4025
23.1973,31.4689,36.4819
17.7198,26.0125,31.0542
13.7438,22.041,27.0811
41.3396,41.9536,41.4932
35.8629,36.4633,36.0063
31.1383,31.7788,31.2817
27.0049,27.6803,27.1773
23.3436,24.044,23.5545
43.5797,40.6022,40.3311
35.6161,37.6789,37.8459
29.252,35.1442,35.8601
24.3582,31.9915,33.0889
20.1627,28.5694,26.2752
41.2887,43.3762,42.5909
34.6761,38.8525,37.865
28.8727,36.0325,35.9293
24.328,34.1336,34.9998
20.5633,32.9142,33.9216
41.2602,42.09,41.3908
35.8383,36.8037,35.1899
30.9472,32.0239,31.4776
25.9422,28.2695,27.2129
23.094,24.3916,23.7406
38.2307,52.5552,52.2568
32.6636,48.8963,48.426
27.8407,45.1093,44.5808
23.7636,41.449,41.1343
20.2701,36.9604,37.4835
30.5893,44.6889,41.7884
23.3099,37.7294,34.6749
17.9074,32.3704,29.2897
41.4312,42.0207,41.5573
35.7575,36.3381,35.8925
31.0689,31.6961,31.2118
27.0694,27.6827,27.2415
23.3878,24.0704,23.5631
40.8397,46.6223,42.3587
34.0964,41.4299,38.8567
30.0041,34.0168,34.6695
27.7183,35.9858,32.5001
24.3761,27.4848,31.638
39.7095,47.0913,43.6675
33.6462,43.6773,40.1543
28.4325,40.3535,37.594
24.0659,35.7083,36.2193
