SSIMY,SSIMCb,SSIMCr
16.7328,13.1041,13.4592
11.789,8.19479,8.58339
8.16602,4.67215,5.14142
5.7527,2.5294,3.0115
4.17749,1.43537,1.87093
32.7306,14.9226,13.4752
17.056,11.0689,10.7597
11.0908,8.90441,8.57817
6.56309,7.21632,6.6734
4.66908,6.08812,5.47466
19.8075,15.7904,14.9039
14.2289,11.8732,11.686
9.47045,9.74005,9.64954
5.42135,7.91336,7.53173
2.39916,7.16812,5.83778
19.4883,16.0721,16.4031
14.4308,11.1601,11.5487
10.7114,7.29252,7.64621
7.60463,4.40251,4.86155
5.57269,2.61483,3.06288
20.6939,24.9044,23.7875
14.5399,20.5612,18.898
9.50266,16.5071,14.6722
5.18942,12.2511,10.6776
2.39143,8.34653,6.51209
17.7838,23.8661,23.0192
12.4018,19.0556,17.424
7.46019,13.7164,11.6533
6.33065,12.4903,10.3331
17.0716,12.2786,11.8183
11.9676,7.4161,7.03716
8.126,4.02998,3.75037
5.43756,2.02821,1.87103
3.6905,1.01079,0.936832
17.1497,14.5581,14.762
11.4905,13.4853,13.6541
7.65234,12.027,12.3872
5.5802,10.812,10.9437
3.71381,10.401,12.4683
15.2849,15.0184,14.7828
9.85648,13.6306,13.8104
6.68729,12.7129,12.8023
4.23679,12.3915,12.4773
2.30372,12.2934,12.4689
20.1185,15.4219,14.9045
15.0431,10.455,9.99584
10.6888,6.4678,6.06439
7.54722,3.7816,3.51603
5.23415,2.00826,1.9141
19.6028,24.2126,24.3104
14.2818,21.3447,21.4
9.19392,18.138,18.1959
5.22299,15.4625,15.614
2.32713,12.763,12.8718
17.5931,23.6971,23.7572
10.6639,20.216,20.3166
5.24958,15.7723,15.9286
4.13789,14.7276,14.9531
18.196,12.5932,12.2549
13.0073,7.66463,7.36037
8.96854,4.16381,3.95166
6.14031,2.12885,2.004
4.24693,1.10985,1.04043
18.4062,13.9504,13.2473
12.789,12.4079,11.7446
8.08565,10.4477,10.2568
3.96779,10.1127,9.1456
3.09022,10.2394,8.86464
17.2406,15.127,14.0258
11.3926,12.7824,12.2302
7.05979,11.2052,10.6776
3.74829,10.4543,9.99796
1.69921,10.2483,9.76952
21.1838,15.676,15.2781
15.857,10.5308,10.1287
11.7232,6.54787,6.26526
8.40449,3.78623,3.59415
6.54334,2.38801,2.2853
19.1264,23.7434,23.5472
13.2604,20.4157,19.9349
8.28206,17.274,16.5369
4.16951,14.1231,13.1527
1.64728,10.522,10.0399
17.5818,22.7439,22.5919
9.99907,17.7413,17.371
3.94177,12.5776,12.1043
2.67806,11.4003,10.8978
16.2119,12.4067,11.7617
11.2724,7.58927,6.99685
7.60731,4.21427,3.71934
5.2856,2.28633,1.95116
3.67558,1.21217,1.00977
19.485,14.5066,15.2808
13.5018,12.455,13.4351
9.19249,10.5859,11.491
5.0456,9.11865,9.13376
4.02881,9.00031,10.0905
16.1516,15.5813,15.5156
11.6824,12.728,13.1007
8.18718,11.2696,12.2628
4.79632,10.6461,11.8331
2.70885,10.283,11.643
19.5236,16.0775,15.4375
14.096,10.8991,10.2259
10.2802,7.00548,6.33324
6.9886,3.89665,3.40958
4.99433,2.41233,1.99516
20.6929,25.278,25.0888
14.7563,21.4036,21.4514
9.71766,17.734,18.1951
5.66729,14.341,15.3813
2.93855,11.4106,12.6807
15.1265,25.0355,24.6614
10.9192,21.9427,22.3558
7.43335,17.7233,18.6627
6.15771,16.122,17.1953
13.4898,13.5332,12.2093
8.70921,8.89122,7.72223
5.44351,5.23087,4.26951
3.50979,3.00539,2.26507
2.3279,1.75939,1.21184
34.1227,15.9193,17.8258
13.5576,11.7691,13.1965
9.678,8.81554,9.88902
4.53994,7.49398,8.83584
5.11614,7.0334,8.69981
16.4571,17.8169,16.2586
12.6433,13.4468,12.5909
8.52041,10.4008,10.9947
4.72022,8.01235,9.54561
3.07664,6.99418,9.3393
14.1471,16.6882,15.5144
9.26966,11.6697,10.4111
7.02047,7.82286,6.89222
4.78857,4.91645,4.00347
3.51323,3.05368,2.36248
20.2357,22.5521,23.7563
14.7825,17.7298,19.5819
9.66611,12.9404,15.4441
5.3394,8.86044,11.5509
2.65682,7.24602,9.72216
6.98569,21.6344,23.2166
4.70186,14.7288,17.0398
2.26344,9.13468,11.6321
1.5918,7.96685,10.4961
15.8005,12.9846,12.3067
11.0847,8.23322,7.59682
7.51698,4.54901,4.05957
5.46697,2.50291,2.14412
4.08626,1.33306,1.09611
20.7548,13.3424,14.6516
14.7816,10.7334,11.678
11.9968,9.27575,9.93038
8.55974,7.80987,8.62406
5.86363,7.81814,8.45814
17.3025,14.5766,14.7682
14.482,11.7882,12.5792
11.2345,9.88284,10.5384
7.74315,8.78973,9.43499
4.42346,8.18602,8.96235
18.9441,16.1612,15.4947
13.8957,11.1241,10.4996
10.0176,7.27612,6.61539
7.27558,4.39841,3.90163
5.33194,2.50297,2.11337
22.5271,24.787,25.6215
16.6523,20.689,22.3683
11.9787,17.2097,19.2938
7.59642,13.8218,15.6206
3.95219,10.347,11.5332
18.8313,22.3047,22.3403
11.8138,16.543,17.1631
6.04784,11.1556,11.988
4.75779,9.93639,10.8051
20.0871,13.5414,13.4398
14.8357,8.60836,8.54657
10.4652,4.87863,4.86473
7.45826,2.72789,2.7629
5.25727,1.50982,1.54511
36.7996,11.6839,13.1245
16.442,9.10132,9.97923
10.7654,7.85854,8.07885
6.30016,6.54331,6.20592
4.21551,6.30385,5.72131
20.4592,14.9062,14.8486
13.9337,10.4023,10.6315
8.65549,8.03232,8.49613
5.16889,7.22049,7.02309
1.89104,6.65585,5.96832
23.1241,16.6567,16.565
18.1803,11.7536,11.6105
13.7781,7.71888,7.63668
10.0336,4.59287,4.56068
7.70228,2.99127,2.97694
20.9585,22.8053,24.136
15.2614,18.5525,20.1633
9.94393,14.2582,15.9178
5.49989,10.9587,12.1312
1.66067,7.26117,6.80247
17.2839,21.0402,20.7611
9.84866,14.4946,13.9794
3.93884,9.0742,8.37921
2.58487,7.81287,7.06629
20.8448,15.0897,14.1242
15.5546,9.99472,9.05711
11.3784,6.24766,5.43891
8.11737,3.71247,3.07805
5.78124,2.23598,1.77836
29.8906,15.0791,14.8274
18.9278,10.7247,10.5324
12.8224,7.38557,7.41559
7.67343,4.61106,5.0374
6.09147,4.10046,4.66795
21.0304,17.1067,16.3297
15.3356,12.74,11.763
10.8901,9.22229,7.98269
7.09836,6.36178,6.21999
3.9484,4.55035,4.83751
24.0483,18.3318,17.3656
18.8999,13.3588,12.3777
14.0318,8.79944,7.91274
10.8754,6.06167,5.23278
7.93126,3.89641,3.26904
21.5237,23.0886,22.6625
15.8576,18.6401,18.3019
10.8371,14.526,14.3595
6.64398,10.2798,10.5066
3.46371,6.60478,7.17473
18.7295,22.8047,23.1758
12.544,16.3462,17.1234
7.38704,10.7178,11.5483
6.14418,9.39272,10.2226
20.1269,13.362,12.7646
15.1106,8.60885,8.06978
10.8098,4.89762,4.47851
7.60405,2.64258,2.35833
5.28815,1.39632,1.22674
33.1629,13.0833,13.5085
16.1591,9.30811,9.88847
10.9948,7.4363,7.97457
6.666,6.50232,6.44689
5.16693,5.55447,6.1111
20.072,14.9529,14.4103
14.5139,10.3641,10.3611
9.81086,8.30139,8.51291
5.42386,7.0798,7.58936
2.38946,6.77753,7.2554
23.4384,17.0321,16.4602
17.9457,11.5631,10.986
