MOS,PSNRY,PSNRCb,PSNRCr,SSIMY,SSIMCb,SSIMCr
0.938,41.2805,41.8146,41.4132,16.7328,13.1041,13.4592
0.794,35.8013,36.3476,35.9201,11.789000000000001,8.19479,8.58339
0.738,31.0041,31.594,31.1689,8.16602,4.67215,5.14142
0.625,26.866999999999997,27.529,27.0195,5.7527,2.5294,3.0115
0.5329999999999999,23.5098,24.2962,23.6471,4.17749,1.43537,1.87093
0.987,54.5581,42.2325,37.8542,32.7306,14.9226,13.4752
0.9309999999999999,36.9622,38.6306,35.5103,17.055999999999997,11.0689,10.7597
0.8029999999999999,29.9549,35.9818,32.3779,11.0908,8.90441,8.57817
0.499,25.2435,32.7374,29.0544,6.563089999999999,7.21632,6.6734
0.31299999999999994,23.0126,27.831999999999997,26.1726,4.66908,6.08812,5.47466
0.988,42.0903,43.9814,41.5292,19.8075,15.7904,14.9039
0.865,34.6626,39.6848,37.3016,14.2289,11.8732,11.686
0.636,29.0,37.2379,34.5509,9.47045,9.74005,9.64954
0.4239999999999999,24.4269,34.3495,30.9088,5.42135,7.913360000000001,7.5317300000000005
0.17299999999999993,20.7832,31.7958,27.3829,2.3991599999999997,7.16812,5.83778
0.948,41.3256,41.8762,41.5151,19.4883,16.0721,16.4031
0.747,35.3676,36.2101,36.3989,14.4308,11.1601,11.5487
0.624,31.0437,31.4936,31.1198,10.7114,7.29252,7.646210000000001
0.51,26.8171,27.8031,27.0586,7.60463,4.4025099999999995,4.86155
0.4350000000000001,23.5228,24.4101,23.4675,5.572690000000001,2.61483,3.06288
0.9570000000000001,38.255,52.6053,48.9111,20.6939,24.9044,23.7875
0.858,32.4009,48.0527,43.6532,14.5399,20.5612,18.898
0.659,27.6726,43.8647,39.2232,9.50266,16.5071,14.6722
0.5289999999999999,23.6292,39.527,34.6158,5.18942,12.2511,10.6776
0.25,20.5932,35.196,28.5827,2.3914299999999997,8.34653,6.51209
0.9440000000000001,30.8891,45.1789,37.1004,17.7838,23.8661,23.0192
0.7989999999999999,23.7393,38.2553,30.0133,12.4018,19.0556,17.424
0.69,18.1467,32.7057,24.4443,7.460189999999999,13.7164,11.6533
0.629,16.9607,31.504,23.2298,6.33065,12.4903,10.3331
0.968,41.3694,41.9641,41.4919,17.0716,12.2786,11.8183
0.875,35.8693,36.484,36.0285,11.9676,7.4161,7.037160000000001
0.755,31.1339,31.7472,31.2857,8.126,4.02998,3.7503699999999998
0.627,27.003,27.6098,27.191,5.4375599999999995,2.02821,1.87103
0.499,23.4128,24.0085,23.6376,3.6905,1.0107899999999999,0.936832
0.97,40.5581,44.3286,44.5139,17.1497,14.5581,14.762
0.935,33.2839,42.8031,42.875,11.4905,13.4853,13.6541
0.611,28.2662,39.1086,39.4958,7.65234,12.027000000000001,12.3872
0.39299999999999996,25.3938,33.7271,33.9346,5.5802,10.812000000000001,10.9437
0.18099999999999994,22.3566,28.9857,33.3276,3.71381,10.401,12.4683
0.973,39.8422,44.7598,44.4681,15.2849,15.0184,14.7828
0.8089999999999999,33.2106,43.0268,43.081,9.85648,13.6306,13.8104
0.514,27.819000000000003,41.0755,40.9267,6.687289999999999,12.7129,12.8023
0.24600000000000002,23.6657,39.7167,39.5,4.23679,12.3915,12.4773
0.04400000000000004,20.2189,37.3372,33.3279,2.30372,12.2934,12.4689
0.8740000000000001,41.2869,42.5767,40.6956,20.1185,15.4219,14.9045
0.6809999999999999,35.8674,36.4127,36.141,15.0431,10.455,9.99584
0.525,30.6599,31.7008,31.526,10.6888,6.4678,6.06439
0.39899999999999997,26.656,28.2359,27.1147,7.547219999999999,3.7816,3.51603
0.29200000000000004,23.9393,24.1831,23.5048,5.23415,2.00826,1.9141
0.975,37.8513,54.1051,54.2057,19.6028,24.2126,24.3104
0.8859999999999999,32.5475,51.2285,51.2771,14.2818,21.3447,21.4
0.741,27.5064,48.0135,48.047,9.19392,18.137999999999998,18.1959
0.536,23.4679,45.2824,45.3561,5.22299,15.4625,15.614
0.10400000000000008,20.0558,41.699,41.5809,2.32713,12.763,12.8718
0.9620000000000001,30.2705,44.5587,48.7332,17.5931,23.6971,23.7572
0.8370000000000001,22.9722,37.5709,42.2973,10.6639,20.215999999999998,20.3166
0.633,17.569000000000003,32.207,37.0849,5.24958,15.7723,15.9286
0.547,16.4749,31.0859,36.0553,4.1378900000000005,14.7276,14.9531
0.971,41.4307,42.0108,41.573,18.195999999999998,12.5932,12.2549
0.919,35.8676,36.4876,36.0263,13.0073,7.664630000000001,7.36037
0.785,31.0093,31.6501,31.1955,8.968539999999999,4.16381,3.95166
0.617,26.8994,27.5238,27.0725,6.1403099999999995,2.12885,2.004
0.528,23.4414,24.0858,23.6144,4.24693,1.10985,1.04043
1.0,40.5749,43.1403,42.3442,18.4062,13.9504,13.2473
0.95,33.8002,41.2537,40.5134,12.789000000000001,12.4079,11.7446
0.672,28.3143,37.7849,37.6577,8.08565,10.4477,10.2568
0.263,23.2218,31.9122,32.8191,3.96779,10.1127,9.1456
0.16799999999999993,21.893,31.816999999999997,31.8311,3.09022,10.2394,8.86464
1.0,40.3145,44.4714,43.1602,17.2406,15.127,14.0258
0.882,33.503,41.7103,41.0463,11.3926,12.7824,12.2302
0.611,28.1799,39.2479,38.7779,7.05979,11.2052,10.6776
0.30299999999999994,23.8399,37.2942,36.6306,3.7482900000000003,10.4543,9.99796
0.09599999999999996,20.2063,35.8834,34.141999999999996,1.6992099999999999,10.2483,9.76952
0.932,41.4429,42.0195,41.411,21.1838,15.675999999999998,15.2781
0.757,35.9329,35.7958,36.1021,15.857000000000001,10.5308,10.1287
0.502,30.6194,32.2521,30.5567,11.7232,6.54787,6.26526
0.38,27.0261,27.7959,26.8198,8.40449,3.78623,3.59415
0.2759999999999999,24.1052,24.8264,24.1809,6.54334,2.38801,2.2853
0.917,38.119,53.1257,52.8282,19.1264,23.7434,23.5472
0.784,32.3747,49.6533,49.09,13.2604,20.4157,19.9349
0.637,27.5548,46.4197,45.6044,8.282060000000001,17.274,16.5369
0.429,23.4571,43.138999999999996,42.07,4.16951,14.1231,13.1527
0.08700000000000008,20.1807,37.864000000000004,37.2089,1.6472799999999999,10.522,10.0399
0.883,30.468000000000004,46.4413,45.2765,17.5818,22.7439,22.5919
0.6609999999999999,23.1682,39.6371,38.3779,9.99907,17.7413,17.371
0.395,17.6845,34.1959,32.9072,3.9417699999999996,12.5776,12.1043
0.31000000000000005,16.4989,32.9782,31.7458,2.67806,11.4003,10.8978
0.972,41.1759,41.8283,41.31100000000001,16.2119,12.4067,11.7617
0.912,35.7153,36.3934,35.8514,11.2724,7.58927,6.99685
0.748,30.8917,31.6842,31.0721,7.607310000000001,4.21427,3.7193400000000003
