MOS,PSNRY,PSNRCb,PSNRCr,SSIMY,SSIMCb,SSIMCr
93.8,41.2805,41.8146,41.4132,16.7328,13.1041,13.4592
79.4,35.8013,36.3476,35.9201,11.789,8.19479,8.58339
73.8,31.0041,31.594,31.1689,8.16602,4.67215,5.14142
62.5,26.867,27.529,27.0195,5.7527,2.5294,3.0115
53.3,23.5098,24.2962,23.6471,4.17749,1.43537,1.87093
98.7,54.5581,42.2325,37.8542,32.7306,14.9226,13.4752
93.1,36.9622,38.6306,35.5103,17.055999999999994,11.0689,10.7597
80.3,29.9549,35.9818,32.3779,11.0908,8.90441,8.57817
49.9,25.2435,32.7374,29.0544,6.563089999999999,7.21632,6.6734
31.3,23.0126,27.832,26.1726,4.66908,6.08812,5.47466
98.8,42.0903,43.9814,41.5292,19.8075,15.7904,14.9039
86.5,34.6626,39.6848,37.3016,14.2289,11.8732,11.686
63.6,29.0,37.2379,34.5509,9.47045,9.74005,9.64954
42.4,24.4269,34.3495,30.9088,5.42135,7.913360000000001,7.53173
17.3,20.7832,31.7958,27.3829,2.39916,7.16812,5.83778
94.8,41.3256,41.8762,41.5151,19.4883,16.0721,16.4031
74.7,35.3676,36.2101,36.3989,14.4308,11.1601,11.5487
62.4,31.0437,31.4936,31.1198,10.7114,7.29252,7.646210000000001
51.0,26.8171,27.8031,27.0586,7.60463,4.40251,4.86155
43.5,23.5228,24.4101,23.4675,5.5726900000000015,2.61483,3.06288
95.7,38.255,52.6053,48.9111,20.6939,24.9044,23.7875
85.8,32.4009,48.0527,43.6532,14.5399,20.5612,18.898
65.9,27.6726,43.8647,39.2232,9.50266,16.5071,14.6722
52.9,23.6292,39.527,34.6158,5.18942,12.2511,10.6776
25.0,20.5932,35.196,28.5827,2.39143,8.34653,6.51209
94.4,30.8891,45.1789,37.1004,17.7838,23.8661,23.0192
79.9,23.7393,38.2553,30.0133,12.4018,19.0556,17.424
69.0,18.1467,32.7057,24.4443,7.460189999999999,13.7164,11.6533
62.9,16.9607,31.504,23.2298,6.33065,12.4903,10.3331
96.8,41.3694,41.9641,41.4919,17.0716,12.2786,11.8183
87.5,35.8693,36.484,36.0285,11.9676,7.4161,7.037160000000001
