PSNRY,PSNRCb,PSNRCr
31.9829,38.7619,37.105
31.3304,41.2088,41.3944
22.857,33.0385,32.2112
23.6199,34.3277,35.0867
22.2801,32.9662,32.0875
27.8862,37.3593,36.7257
26.5409,38.2364,40.5742
28.1259,37.6712,37.8539
34.477,43.2062,43.4654
25.3887,37.6371,36.5806
28.4873,37.3526,38.7627
35.2024,42.2929,42.0872
24.2133,36.9405,39.8238
32.6563,39.3624,38.4199
43.7228,48.4871,48.6528
31.0743,38.2615,37.1495
29.7971,38.913,38.8905
41.7882,46.0287,45.6196
29.4339,38.7289,38.4743
24.2792,33.2833,32.996
22.5981,35.7659,35.2161
19.1975,30.9274,32.8379
35.4783,45.0344,46.6272
25.0353,35.0246,34.6044
25.0336,37.3163,36.5742
36.5796,41.6632,39.9877
33.6228,44.297,45.54
29.1793,39.3666,40.0667
32.8313,43.6484,41.4255
25.5074,36.052,37.6626
24.9632,33.8519,34.6125
31.4743,43.754,38.199
25.4906,39.604,39.8795
20.7802,30.9364,33.2049
22.9197,34.2752,34.5844
22.7402,31.764,33.2453
29.313,38.7164,38.4431
22.5951,31.7578,33.2452
39.2269,46.4017,46.7249
33.9162,43.5881,43.823
29.245,41.5028,38.2822
29.8105,39.4438,41.2202
32.0911,41.8029,42.4294
30.2546,38.1165,35.8165
48.0795,49.2008,50.9207
46.6653,49.6863,49.567
22.0422,33.4955,32.3889
34.859,41.5158,39.8664
44.0682,49.4103,49.1514
32.2327,39.4162,41.0738
20.6659,31.4584,30.6542
36.6607,44.7536,45.4035
46.6999,50.7884,50.7843
22.1446,35.8758,38.8513
28.1987,39.5429,41.2291
41.9587,48.8526,45.9639
42.7106,45.8015,44.6009
28.6638,38.5007,38.6927
25.0161,33.7262,32.3179
33.7397,41.6498,41.8466
28.9384,39.1528,38.6912
41.5074,46.314,45.8074
33.2439,42.1072,42.4756
38.7012,45.2695,44.2262
19.6604,30.5451,33.0372
25.6484,39.6612,39.8814
41.2513,48.3005,45.9782
29.6333,41.2031,41.27
33.4796,42.9809,43.6691
32.1032,39.4143,41.065
36.2009,43.0598,41.5237
29.0112,35.9372,37.4383
31.802,43.8508,38.2398
41.5032,47.8922,47.1267
45.5146,49.271,49.1731
45.2393,49.3585,49.1131
27.8298,37.6682,37.6489
47.8693,50.6737,50.0301
29.5757,41.0217,41.2625
18.521,30.5563,32.1179
29.8854,37.6873,36.0716
34.4378,43.0182,43.4458
33.1613,37.3656,38.2799
37.7985,44.0246,45.5665
43.4805,48.1231,48.8864
22.1699,33.6542,33.4559
31.0367,41.7945,42.3291
30.6299,42.7341,44.5562
20.6409,33.9328,35.6753
30.7853,39.7749,40.2255
27.4677,36.0094,34.1701
31.4645,37.0254,38.6003
36.4807,44.67,44.6564
29.0283,36.3939,35.2578
32.1496,40.6983,40.4193
32.0593,41.4121,42.0084
27.0765,34.9578,35.6499
25.076,36.1473,35.822
23.1191,32.7694,31.7682
30.4761,42.0326,42.103
25.6559,37.9032,38.5867
28.1656,39.0333,39.8914
41.5422,48.1102,48.3385
