SSIMY,SSIMCb,SSIMCr
14.2104,10.8193,9.58122
9.57727,14.8034,15.1588
5.96265,7.72649,8.43639
6.28779,8.12001,8.4581
5.49594,7.69572,8.38094
9.11379,9.80448,9.09784
7.34431,10.1077,12.4533
8.02056,10.1552,10.2122
11.08,14.8325,15.0071
7.63192,10.1773,10.0162
8.03461,10.5768,11.9823
15.4786,14.3977,14.2644
5.44325,9.45707,12.2414
13.1172,12.7106,12.102
19.3724,18.9653,19.0962
10.7071,11.1139,9.80127
9.41326,11.1215,10.9561
19.8302,17.1248,16.1587
6.73664,10.9838,11.3336
5.10424,7.56776,7.4124
5.67747,9.2241,9.05012
3.75781,5.44687,6.34498
11.7802,16.2371,17.6799
4.64102,10.789,11.0725
7.29908,10.0417,10.0108
18.3426,13.6627,12.4382
10.2513,15.8048,17.0319
7.39657,11.8368,13.0071
9.49676,15.2629,13.4725
5.6896,9.65118,11.2607
8.77068,7.404,7.12338
8.04857,15.4931,11.4399
4.9217,12.0888,12.8714
5.71263,5.61542,7.02985
5.84317,8.10482,8.37398
4.17286,6.42635,7.43614
6.63854,10.9778,11.3029
4.03296,6.42306,7.4354
13.765,18.2518,18.3916
11.264,14.5677,14.7423
6.94407,13.6598,11.4476
8.23221,12.5088,14.1357
10.1763,14.4445,15.1109
11.4598,11.892,10.1726
22.0678,19.5641,21.2535
19.9053,20.1432,19.7886
5.16518,6.64984,5.75566
13.926,14.5948,13.4169
16.4729,19.9003,19.445
11.5626,11.1091,12.2116
4.08574,7.03772,7.81117
12.1077,17.0388,17.5665
20.5067,21.0871,20.8547
3.95245,8.99169,11.8996
8.3368,11.9743,14.2121
16.474,19.2026,18.2531
20.5226,17.6922,16.3257
10.0293,11.3718,11.8819
6.48697,9.54298,8.18789
10.3242,13.2492,13.73
7.61964,13.4015,13.4734
18.6185,18.0973,17.104
9.53873,15.2999,15.818
13.0579,17.0862,16.6019
4.59485,5.36015,6.97262
5.0389,12.142,12.8725
17.0589,19.0205,17.167
7.76001,12.7494,13.153
11.2926,14.656,15.0593
11.4821,11.1075,12.2078
11.5658,15.5867,14.6253
8.87313,8.85373,9.77764
8.32409,15.542,11.4634
14.8818,19.0858,18.7071
20.2428,19.565,19.3923
17.8093,19.9804,19.4788
7.79954,10.1496,10.0059
20.7488,22.0437,21.8749
7.72277,12.7248,13.1435
3.19104,5.37012,6.24849
10.5123,11.7276,10.4756
11.0557,14.6365,14.9973
15.849,11.4272,10.6722
14.307,15.1384,16.8253
16.5319,18.7979,19.2979
4.48191,8.41055,8.83968
9.57681,13.8984,14.2023
7.54019,14.8043,16.563
2.85384,8.58687,11.1545
7.88143,14.0013,14.5394
8.53098,10.7226,9.22515
10.7959,9.81663,10.5209
14.086,17.0993,17.2896
7.34883,11.8865,11.1268
12.9562,13.1992,13.0607
9.42854,13.2967,14.1049
10.8026,8.3491,7.92774
6.89475,9.79163,10.0415
3.30167,9.39684,9.37684
8.90649,13.682,14.0768
6.61619,11.0622,13.0357
7.46228,12.6756,13.7589
14.6277,18.8398,18.8204
7.64369,7.37774,6.16381
9.07506,10.3422,11.4935
4.72901,9.90451,10.4881
5.80902,12.1925,11.971
17.7914,15.3791,14.5684
8.73665,13.2112,13.707
13.9156,14.3811,14.3297
5.19614,8.51472,8.91594
5.87197,11.1376,12.3209
3.06221,7.79848,8.31601
4.65634,8.97159,8.57781
7.89924,12.536,11.7675
6.68058,8.57787,7.46876
14.1956,16.2438,16.093
6.09848,6.13274,6.55924
10.8554,13.0964,14.727
10.9592,9.659,10.7588
8.4982,6.64076,7.55786
6.28726,8.20733,8.1181
6.33957,12.9108,13.4302
8.37111,8.68672,9.31893
11.2065,8.91931,7.51719
3.5171,11.916,9.74529
12.3119,14.6348,16.0966
15.7532,16.5614,16.8466
2.22226,8.6305,11.7607
11.8836,10.7484,9.98582
3.41569,6.80793,6.90981
6.29749,7.57082,8.74024
3.55714,9.28465,9.85012
4.60805,8.14632,7.112
7.733,9.53153,8.78324
15.9138,18.8758,18.6111
13.0042,16.911,16.7942
8.42744,11.8048,12.1476
4.68237,12.8345,7.58314
11.6567,8.41342,8.61779
6.52364,12.8829,13.7567
5.34855,8.09995,8.37312
13.3698,17.8316,15.7153
6.34994,10.0138,11.3114
10.0444,14.4106,13.5858
17.9576,15.2927,14.1085
14.8932,13.9968,14.1747
4.73797,8.84443,11.2371
2.36829,4.87792,6.82317
4.56338,11.0194,11.6502
9.86581,13.3446,15.0425
14.9329,11.9304,12.2765
9.05019,9.99434,9.00322
10.5574,12.1668,13.6017
14.6389,16.5567,17.5912
15.4633,16.757,16.5193
3.89696,11.7453,12.4359
13.2403,15.1445,15.6971
4.36053,9.18054,10.6714
14.0726,10.3995,8.95104
11.4793,11.5582,13.3748
3.39805,6.50792,5.52393
5.17384,14.0027,16.0021
7.0721,11.4253,13.6237
5.21482,12.8462,10.707
10.6964,11.9267,11.7441
2.41392,7.54666,7.94201
6.55176,14.5807,9.41287
5.84467,12.6639,13.3062
8.00238,12.0468,8.23118
11.8314,9.37976,9.23048
6.04888,6.599,7.50514
12.2683,15.5799,17.3571
7.15126,9.87828,10.2128
8.1202,10.9496,12.4381
19.8312,17.4927,18.3513
21.0052,14.0616,13.338
8.97058,12.8734,11.1648
6.31863,8.35458,11.2164
19.934,15.8557,18.6831
9.9714,8.79175,7.83727
9.79587,8.55669,8.67905
5.88629,7.85589,9.74228
14.5285,16.36,16.9436
11.4523,12.4077,14.5203
10.6752,6.55657,7.6413
5.34873,6.73769,7.75623
21.0993,18.8135,19.8839
11.0381,12.276,12.2895
9.38434,9.05908,10.9324
5.55898,8.63326,9.3477
5.68153,5.07052,6.00265
6.50538,10.7656,9.28126
13.6854,14.6002,15.424
8.41082,7.32207,8.37857
14.8285,14.3545,16.6884
6.7932,6.81214,7.87647
8.4741,8.94801,8.77023
8.47266,11.0433,11.4609
9.47846,6.96041,6.12993
5.00262,5.51402,6.88731
7.88058,12.0266,10.425
9.3073,8.04642,7.97657
6.36378,8.78727,9.54536
9.1684,10.3734,11.1882
15.691,9.41333,8.26623
9.87938,7.39902,8.78486
9.28777,9.69043,11.2712
17.8565,16.1944,17.0669
16.8351,13.6488,14.2445
9.84497,7.07749,6.25599
7.81921,5.72351,6.28316
18.0082,10.795,11.6939
5.68153,5.07052,6.00265
10.7466,13.4594,14.534
16.0508,15.0478,17.3975
7.04494,7.81928,8.52057
12.158,14.442,15.4232
8.97418,10.5921,12.4031
18.4418,16.9503,17.898
10.8674,12.929,14.0833
15.4159,16.4043,16.245
8.16633,7.43267,7.37419
19.8081,9.55827,9.95759
6.89113,8.94104,9.77182
6.851,7.49053,7.96262
5.00262,5.51402,6.88731
4.56032,4.77658,6.69839
7.54767,8.45711,7.53206
8.21371,8.10985,8.61385
