MOS,PSNRY,PSNRCb,PSNRCr,SSIMY,SSIMCb,SSIMCr
84.13405999999998,31.9829,38.7619,37.105,14.2104,10.8193,9.58122
76.63738000000002,31.3304,41.2088,41.3944,9.57727,14.8034,15.1588
37.39365,22.857,33.0385,32.2112,5.96265,7.726489999999999,8.43639
32.66778,23.6199,34.3277,35.0867,6.28779,8.12001,8.4581
37.18532,22.2801,32.9662,32.0875,5.49594,7.69572,8.380939999999999
50.86406,27.8862,37.3593,36.7257,9.11379,9.80448,9.09784
63.27685,26.5409,38.2364,40.5742,7.344310000000001,10.1077,12.4533
59.74065,28.1259,37.6712,37.8539,8.020560000000001,10.1552,10.2122
56.89006,25.3887,37.6371,36.5806,7.63192,10.1773,10.0162
57.7681,28.4873,37.3526,38.7627,8.03461,10.5768,11.9823
86.59954,35.2024,42.2929,42.0872,15.4786,14.3977,14.2644
40.67975,24.2133,36.9405,39.8238,5.44325,9.45707,12.2414
72.00336999999998,32.6563,39.3624,38.4199,13.1172,12.7106,12.102
78.06124,31.0743,38.2615,37.1495,10.7071,11.1139,9.80127
66.578,29.7971,38.913,38.8905,9.41326,11.1215,10.9561
87.4539,41.7882,46.0287,45.6196,19.8302,17.1248,16.1587
55.38883000000001,29.4339,38.7289,38.4743,6.73664,10.9838,11.3336
35.68213,24.2792,33.2833,32.996,5.10424,7.567760000000002,7.4124
42.06606,22.5981,35.7659,35.2161,5.67747,9.2241,9.05012
31.96603,19.1975,30.9274,32.8379,3.75781,5.44687,6.3449800000000005
77.3641,35.4783,45.0344,46.6272,11.7802,16.2371,17.6799
31.01694,25.0353,35.0246,34.6044,4.64102,10.789,11.0725
51.55723,25.0336,37.3163,36.5742,7.29908,10.0417,10.0108
90.16427,36.5796,41.6632,39.9877,18.3426,13.6627,12.4382
75.09563,33.6228,44.297,45.54,10.2513,15.8048,17.0319
74.12886999999998,32.8313,43.6484,41.4255,9.49676,15.2629,13.4725
31.45886,25.5074,36.052,37.6626,5.6896,9.65118,11.2607
59.50148000000001,24.9632,33.8519,34.6125,8.77068,7.404,7.12338
35.096,20.7802,30.9364,33.2049,5.71263,5.6154199999999985,7.02985
32.8883,22.9197,34.2752,34.5844,5.84317,8.10482,8.37398
55.6622,29.313,38.7164,38.4431,6.638539999999999,10.9778,11.3029
85.89246999999997,39.2269,46.4017,46.7249,13.765,18.2518,18.3916
79.75515,33.9162,43.5881,43.823,11.264,14.5677,14.7423
53.10795,29.245,41.5028,38.2822,6.94407,13.6598,11.4476
43.08775,29.8105,39.4438,41.2202,8.23221,12.5088,14.1357
57.45323000000001,32.0911,41.8029,42.4294,10.1763,14.4445,15.1109
61.6098,30.2546,38.1165,35.8165,11.4598,11.892,10.1726
92.75313,48.0795,49.2008,50.9207,22.0678,19.5641,21.2535
88.85693,46.6653,49.6863,49.567,19.9053,20.1432,19.7886
42.30042,22.0422,33.4955,32.3889,5.16518,6.649839999999998,5.75566
78.9388,34.859,41.5158,39.8664,13.925999999999998,14.5948,13.4169
92.16817,44.0682,49.4103,49.1514,16.4729,19.9003,19.445
71.40645,32.2327,39.4162,41.0738,11.5626,11.1091,12.2116
25.16456,20.6659,31.4584,30.6542,4.08574,7.037719999999998,7.81117
75.99379,36.6607,44.7536,45.4035,12.1077,17.0388,17.5665
92.52746,46.6999,50.7884,50.7843,20.5067,21.0871,20.8547
27.66551,22.1446,35.8758,38.8513,3.95245,8.99169,11.8996
52.16538,28.1987,39.5429,41.2291,8.3368,11.9743,14.2121
86.74701999999998,42.7106,45.8015,44.6009,20.5226,17.6922,16.3257
70.97339000000002,28.6638,38.5007,38.6927,10.0293,11.3718,11.8819
28.49918,25.0161,33.7262,32.3179,6.48697,9.54298,8.18789
79.71677,33.7397,41.6498,41.8466,10.3242,13.2492,13.73
58.58476,28.9384,39.1528,38.6912,7.619639999999999,13.4015,13.4734
87.7821,41.5074,46.31399999999999,45.8074,18.6185,18.0973,17.104
60.66123,33.2439,42.1072,42.4756,9.53873,15.2999,15.818
31.06188,19.6604,30.5451,33.0372,4.59485,5.36015,6.97262
87.79464,41.2513,48.3005,45.9782,17.0589,19.0205,17.167
55.10676,29.6333,41.2031,41.27,7.76001,12.7494,13.153
65.65883000000001,33.4796,42.9809,43.6691,11.2926,14.656,15.0593
71.25473000000002,32.1032,39.4143,41.065,11.4821,11.1075,12.2078
91.8154,45.5146,49.271,49.1731,20.2428,19.565,19.3923
88.87536,45.2393,49.3585,49.1131,17.8093,19.9804,19.4788
56.89158000000001,27.8298,37.6682,37.6489,7.799539999999999,10.1496,10.0059
91.08727,47.8693,50.6737,50.0301,20.7488,22.0437,21.8749
