PSNRY,PSNRCb,PSNRCr
36.4958,37.1566,36.6633
33.5502,34.1537,33.6962
30.4615,31.1208,30.6307
27.4873,28.142,27.6279
24.4924,25.1811,24.5849
42.349,36.5615,36.5119
39.5024,33.5758,33.5323
36.4542,30.5806,30.4922
33.5201,27.6428,27.5163
30.4728,24.671,24.4471
36.533,37.182,36.658
33.47,34.1885,33.659
30.4874,31.0586,30.6085
27.4577,28.1341,27.6549
24.452,25.2119,24.6114
36.2157,37.0755,36.5691
33.1522,34.0231,33.5046
30.0864,30.9712,30.4373
27.3237,28.2286,27.6748
24.1872,25.1184,24.5374
36.447,37.0488,36.6058
33.4679,34.0733,33.6269
28.4835,29.116,28.6359
23.4792,24.1756,23.6136
18.4778,19.2299,18.5818
36.9161,37.1682,37.2824
33.4161,33.7937,33.9449
30.4874,30.7271,30.9397
27.6033,27.9175,27.997
24.4537,24.9095,24.9614
36.1137,36.6726,38.0863
32.27,34.6322,35.539
30.0252,29.4674,33.2389
26.6584,25.6853,31.8603
24.0457,23.7691,27.4367
33.9783,55.3668,55.1476
29.1479,52.7584,52.1045
25.281,50.2826,48.8624
22.7337,47.6927,45.1635
20.97,44.9756,40.9216
34.7061,38.4852,37.9763
31.5114,37.3925,36.8258
27.711,36.3887,35.7756
24.6305,34.7038,34.0685
21.4516,33.149,32.4488
33.6797,46.065,44.0951
30.659,44.5829,42.5402
27.4483,41.5545,39.1835
24.4088,36.7616,35.2019
22.3195,27.4231,33.0811
33.3242,46.4892,46.703
30.3109,45.5026,44.9245
27.3381,44.6295,42.8784
24.1626,41.9277,39.0196
21.1373,38.9966,34.6604
32.8496,49.4273,48.7142
31.1723,50.9652,49.5987
27.1902,50.3505,49.5412
23.9219,50.0116,49.5042
21.293,49.189,49.2376
33.9421,51.5416,51.5948
29.5468,48.5003,49.4194
27.1076,47.496,47.5955
24.3268,48.3801,47.8918
20.8163,43.9134,44.0033
32.8231,59.1809,56.9741
29.6545,56.7693,55.2062
26.9442,52.5233,49.283
25.2076,50.3708,46.5685
23.419,47.8568,41.7759
26.9346,48.905,38.4822
25.9567,49.6699,39.5969
25.4308,50.9093,40.1544
24.7444,52.5492,42.4899
25.8427,38.0644,28.7849
32.5685,66.9171,77.0014
28.1313,78.6864,101.067
22.1226,51.9151,61.1745
18.5885,75.9213,84.7321
16.1957,38.5048,47.6033
36.351,45.5195,46.3288
30.2047,40.1436,40.5184
28.3376,38.0962,38.5827
23.4614,34.2024,34.0929
22.3084,32.2004,32.7347
53.4789,35.4025,35.6667
53.4857,32.6653,32.8927
52.8751,29.2782,29.7832
53.399,26.1972,26.944
53.0083,23.294,23.8416
36.0695,37.6956,36.0869
33.0914,34.7173,33.09
30.1076,31.7098,30.1067
27.0791,28.7049,27.0653
24.0977,25.7426,24.1046
33.4062,46.0897,46.0993
30.2252,44.7464,44.752
27.2265,43.1064,43.0707
24.1153,40.7246,40.4131
21.0701,38.4201,37.375
33.7807,42.8863,41.6616
30.7065,40.1704,38.7298
27.8005,37.1901,35.4404
25.0354,33.7189,31.5263
22.4697,29.9492,27.4323
34.2233,42.409,38.4607
31.0702,41.0401,36.8029
27.0887,40.7509,35.734
25.5867,38.2316,31.8435
21.1153,36.8999,29.8247
40.923,36.6628,37.131
35.8466,31.5296,31.9893
32.8355,28.7478,29.1641
30.1648,27.6444,27.7422
21.9628,29.0503,31.3853
33.4186,45.2594,44.8663
30.2522,44.3384,43.7263
27.1349,43.2639,42.0541
24.0818,41.6539,39.0404
21.0184,39.3006,33.7213
36.5201,37.14,36.6546
33.5268,34.202,33.69
30.511,31.2298,30.6353
27.5368,28.3751,27.6488
24.5784,25.654,24.6624
42.3766,36.6004,36.5608
39.5073,33.667,33.5508
36.5269,30.7896,30.5056
33.5833,28.1707,27.5081
30.5629,25.5335,24.4485
36.5111,37.1441,36.6846
33.5687,34.2058,33.6988
30.5148,31.281,30.6347
27.447,28.4166,27.6732
24.5832,25.6738,24.716
36.7876,37.8428,36.2771
33.7772,34.8668,33.2545
30.7721,31.9148,30.237
27.7147,28.9281,27.1619
24.613,25.9315,24.0466
36.4535,37.0616,36.6091
33.4781,34.1139,33.6362
28.5087,29.3248,28.6553
23.6254,24.7816,23.6907
18.9799,20.3401,18.8335
35.4542,34.5768,36.3812
31.6778,34.201,32.4222
28.4136,31.1148,29.4259
25.4246,28.1872,26.2613
22.481,25.1924,23.4129
37.1679,36.5823,36.9076
34.6675,37.706,34.5607
31.4671,28.7515,30.8729
30.9394,26.0188,29.4396
25.6507,22.3175,26.6666
39.9365,53.247,50.707
35.1746,49.8544,46.3665
31.3376,46.603,42.3494
28.6575,43.5576,38.6934
26.5276,40.4226,35.1214
36.2081,43.5004,42.1657
34.2042,42.3624,40.7877
31.7781,40.4176,38.6623
29.2013,36.2487,35.5781
24.0394,29.9294,27.6691
37.2273,44.4429,40.1726
34.9027,42.8991,38.6069
32.0051,40.2183,36.0666
29.0074,35.374,32.3983
26.9046,35.3475,29.869
33.9505,43.7637,40.9727
31.0602,41.2097,37.8688
28.1819,38.8507,34.3104
25.4129,35.4829,30.5426
22.5879,32.0669,28.3583
45.9622,49.9055,33.9578
30.7419,45.6269,45.1693
26.731,46.6361,45.0603
23.9903,44.9998,44.5127
20.6581,37.6837,30.928
33.2448,47.0463,44.1754
30.5422,47.5384,41.6441
28.0322,47.8216,35.7242
24.0141,41.7422,34.8381
21.1788,37.1911,38.2665
33.346,49.6085,43.7917
33.9788,53.5627,47.5661
31.4765,47.6316,41.1096
30.5125,45.4435,39.0476
28.6234,43.2515,36.4675
27.5355,43.2337,36.9484
26.7839,37.0919,32.2622
26.4798,34.1132,30.3877
26.6112,36.4536,27.0541
26.5177,31.6737,31.9324
32.5775,58.6603,70.1151
28.1424,63.131,66.959
22.1674,43.8902,54.469
18.6086,50.5455,57.5363
16.4926,30.7572,40.5645
39.672,39.2449,34.8925
34.8539,33.4274,29.0638
31.8633,31.5861,27.0833
28.8849,26.8828,22.0617
25.8735,25.4444,21.0469
53.4216,38.0824,33.4416
53.5749,35.0853,30.6075
53.4239,31.9316,27.4257
53.4834,28.9475,24.3775
53.4833,25.9433,21.5022
37.2954,40.7591,34.7092
34.2818,37.7767,31.7373
31.3356,34.8214,28.764
28.3094,31.8109,25.7184
25.3074,28.8425,22.7267
33.6183,44.422,43.3733
30.5393,42.3461,40.725
27.5584,39.1988,37.0507
24.781,35.63,32.4845
22.112,31.9737,28.0979
34.3792,41.3884,39.242
31.5838,38.4107,35.8406
28.902,35.7787,32.0924
26.3596,33.2158,28.2597
23.5145,29.88,25.6103
34.7208,42.9981,37.2702
31.2936,41.8962,35.8398
27.6584,40.3302,33.4767
25.4335,37.9848,30.8913
21.6155,34.2345,26.0797
40.521,37.1836,36.4979
34.9741,33.3166,31.6938
28.0144,33.0127,29.9971
25.2729,30.8364,28.1943
23.3756,29.0089,27.6898
33.8555,43.6425,41.4724
30.7854,41.5344,38.7344
27.8869,39.0267,34.9088
25.1385,35.6645,31.5074
22.1437,34.1797,27.2936
36.5548,37.1977,36.708
33.5959,34.2853,33.7525
30.5413,31.2666,30.6794
27.5155,28.3417,27.7004
24.5337,25.4459,24.6773
42.381,36.6556,36.6005
39.4746,33.7718,33.6036
36.4867,30.8238,30.5617
33.5114,27.9821,27.5588
30.5129,25.0988,24.5342
36.5174,37.2002,36.7096
33.6166,34.2782,33.7425
30.5276,31.2745,30.7017
27.5435,28.3706,27.6571
24.5551,25.521,24.6926
36.1574,37.6622,36.3206
32.9763,34.5045,33.1553
30.1599,31.701,30.3584
27.1466,28.6896,27.3776
24.1253,25.6466,24.4054
36.4843,37.1139,36.6422
33.5108,34.1773,33.6729
28.5334,29.3149,28.6983
23.5511,24.487,23.705
18.6297,19.6427,18.784
36.1298,36.1532,36.4371
