SSIMY,SSIMCb,SSIMCr
14.3485,7.82356,7.66132
11.7856,5.49101,5.39704
9.32159,3.5638,3.49571
7.25653,2.16044,2.12894
5.42403,1.23069,1.21207
19.8615,7.32957,7.53609
17.1087,5.08635,5.28619
14.2872,3.26794,3.42032
11.7633,1.97456,2.08571
9.35515,1.12193,1.17624
14.8416,8.31518,8.12826
12.1449,5.95314,5.81341
9.79168,3.90131,3.84265
7.58905,2.43399,2.40862
5.73737,1.432,1.39772
18.0922,8.18715,8.01021
15.16,5.98819,5.85635
12.2884,4.18421,4.10386
9.80756,2.92729,2.88644
7.1885,1.88963,1.87614
14.225,7.69502,7.57949
11.6531,5.40735,5.32703
7.88743,2.55311,2.52658
4.86258,1.00583,1.00078
2.57994,0.354609,0.349882
15.5147,9.56528,9.81401
12.3892,6.72618,6.88699
9.96542,4.35058,4.62024
7.70109,2.65975,2.78374
5.60989,1.41163,1.51029
15.0019,7.65858,9.31553
11.7766,6.52528,7.20603
10.5929,3.30532,6.03588
8.63649,1.95736,5.00595
6.68687,1.62007,4.47323
15.1829,25.4621,25.9558
10.1118,23.0443,23.338
6.04732,20.8167,20.7094
3.44093,18.5051,17.742
1.90987,16.3059,14.3766
13.8057,9.19055,8.92313
10.8039,8.42292,8.15304
7.31641,7.95609,7.68382
4.62791,7.28611,6.96877
2.33124,8.51506,8.14874
13.9756,16.7179,15.7698
11.2458,15.9786,14.8184
8.19304,14.8338,13.0051
5.26094,14.0056,11.7894
3.58759,9.67869,11.0522
13.3416,17.0892,17.6634
10.3957,16.4422,16.2966
7.8649,15.9928,15.065
4.73278,15.1443,13.1429
1.98542,14.9127,11.5631
11.9331,19.5036,19.7456
11.2145,20.9589,20.767
7.63464,20.4768,20.7136
5.23121,20.1895,20.6906
3.21528,19.4435,20.4979
14.3786,22.2712,22.4687
10.0854,19.0564,20.3697
7.22652,18.1381,18.5693
5.38992,18.9203,19.0215
5.54316,15.245,14.6378
15.4892,29.3967,28.3358
14.1834,27.0666,26.9462
11.3717,23.4896,22.4138
9.38822,21.6727,20.3223
7.99869,19.7113,17.1574
12.7186,23.6889,16.6914
13.3508,24.5408,17.8513
14.2577,26.0787,18.7389
15.6382,27.6727,20.8993
18.6542,22.9891,20.4682
26.151,37.5184,47.886
22.7253,48.6629,76.0826
14.9282,25.0028,33.4656
14.33,46.0402,54.8183
8.37647,15.8711,22.9891
22.205,25.1266,24.8868
17.1805,21.3923,22.7744
14.2338,22.2066,22.0271
11.1435,14.649,18.0344
7.63568,19.4099,16.9869
31.1584,20.1578,18.9147
31.642,19.1176,16.9137
30.9697,16.6214,14.2625
31.4796,14.557,11.3768
31.4438,11.5851,8.51171
15.3931,8.41303,7.29406
12.65,6.13087,5.14364
10.085,4.2253,3.43439
7.71976,2.76561,2.1443
5.71122,1.7461,1.28692
13.0532,16.0935,16.5317
10.4034,14.8356,15.2981
7.83838,13.3995,13.8416
5.0773,11.6335,11.7916
2.46918,10.4898,10.054
13.2461,13.2712,12.4128
10.579,10.7335,9.7152
8.08043,8.08535,6.91899
5.73196,5.39015,4.15552
3.71406,3.276,2.18414
13.5023,13.5545,10.7956
10.2795,13.9656,10.2809
8.06605,13.9016,10.0783
6.89846,13.2006,8.59388
3.52537,15.1774,7.61569
22.4082,8.09807,8.69997
17.2868,4.76219,5.2125
14.1699,3.44703,3.78233
11.3715,3.14447,3.26082
