MOS,PSNRY,PSNRCb,PSNRCr,SSIMY,SSIMCb,SSIMCr
5.51429,36.4958,37.1566,36.6633,14.3485,7.8235600000000005,7.66132
5.56757,33.5502,34.1537,33.6962,11.7856,5.49101,5.3970400000000005
4.94444,30.4615,31.1208,30.6307,9.321589999999999,3.5638,3.49571
4.37838,27.4873,28.142,27.6279,7.256530000000001,2.1604400000000004,2.12894
3.8648599999999997,24.4924,25.1811,24.5849,5.42403,1.23069,1.21207
6.028569999999999,42.349,36.5615,36.5119,19.8615,7.3295699999999995,7.53609
6.10811,39.5024,33.5758,33.5323,17.1087,5.08635,5.28619
5.38889,36.4542,30.5806,30.4922,14.2872,3.2679400000000003,3.42032
4.71429,33.5201,27.6428,27.5163,11.7633,1.9745599999999999,2.0857099999999997
4.36111,30.4728,24.671,24.4471,9.35515,1.1219299999999999,1.17624
4.7714300000000005,36.533,37.181999999999995,36.658,14.8416,8.31518,8.128260000000001
4.27027,33.47,34.1885,33.659,12.1449,5.95314,5.81341
3.7027,30.4874,31.0586,30.6085,9.79168,3.90131,3.84265
3.19444,27.4577,28.1341,27.6549,7.58905,2.43399,2.40862
2.71429,24.451999999999998,25.2119,24.6114,5.737369999999999,1.432,1.39772
5.971430000000001,36.2157,37.0755,36.5691,18.0922,8.18715,8.01021
5.75676,33.1522,34.0231,33.5046,15.16,5.98819,5.85635
5.27027,30.0864,30.9712,30.4373,12.2884,4.18421,4.10386
5.24324,27.3237,28.2286,27.6748,9.80756,2.92729,2.8864400000000003
4.71429,24.1872,25.1184,24.5374,7.1885,1.88963,1.8761400000000001
5.91892,36.446999999999996,37.0488,36.6058,14.225,7.6950199999999995,7.57949
5.7027,33.4679,34.0733,33.6269,11.6531,5.40735,5.327030000000001
5.08333,28.4835,29.116,28.6359,7.88743,2.5531099999999998,2.52658
4.13889,23.4792,24.1756,23.6136,4.86258,1.00583,1.00078
3.13889,18.4778,19.2299,18.5818,2.57994,0.354609,0.349882
4.0,36.9161,37.1682,37.2824,15.5147,9.56528,9.814010000000001
3.89189,33.4161,33.7937,33.9449,12.3892,6.72618,6.886989999999999
3.7297300000000004,30.4874,30.7271,30.9397,9.96542,4.35058,4.62024
3.4857099999999996,27.6033,27.9175,27.997,7.70109,2.65975,2.7837400000000003
2.94444,24.4537,24.9095,24.9614,5.60989,1.41163,1.51029
5.08333,36.1137,36.6726,38.0863,15.0019,7.658580000000001,9.31553
4.75,32.27,34.6322,35.539,11.7766,6.52528,7.20603
4.0,30.0252,29.4674,33.2389,10.5929,3.3053199999999996,6.035880000000001
